,Ironmongery Set,Mapped Ironmongery Set,Comparison
1025,09a,09a,True
1026,nan,08g,True
1027,09a,09a,True
1028,09a,09a,True
1029,09a,09a,True
1030,09a,09a,True
1031,nan,17,True
1032,09a,09a,True
1033,nan,09a,True
1034,nan,12c,True
1035,11m,11m,True
1036,nan,11j,True
1037,nan,21gDA,True
1038,11p,11p,True
1039,11l,11l,True
1040,09a,09a,True
1041,nan,09a,True
1042,nan,09a,True
1043,12f,12f,True
1044,22,22,True
1045,09a,09a,True
1046,nan,09a,True
1047,09a,09a,True
1048,09a,09a,True
1049,09a,09a,True
1050,nan,09a,True
1051,6,6,True
1052,nan,17b,True
1053,09a,09a,True
1054,nan,12f,True
1055,nan,17a,True
1056,12e*,12e*,True
1057,09a,09a,True
1058,12d,12d,True
1059,nan,11gDA,True
1060,nan,11p,True
1061,11gDA,11gDA,True
1062,nan,09a,True
1063,21gDA,21gDA,True
1064,nan,11hDA,False
1065,nan,11p,True
1066,nan,17k,True
1067,nan,08h,True
1068,09a,09a,True
1069,nan,12e,True
1070,nan,31,True
1071,31,31,True
1072,nan,12f,True
1073,11j,11j,True
1074,nan,12f,True
1075,nan,11p,True
1076,12e,12e,True
1077,09a,09a,True
1078,nan,09a,True
1079,09a,09a,True
1080,09a,09a,True
1081,nan,09a,True
1082,nan,09a,True
1083,09a,09a,True
1084,nan,12f,True
1085,09a,09a,True
1086,09a,09a,True
1087,nan,09a,True
1088,nan,09a,True
1089,9,9,True
1090,09a,09a,True
1091,09a,09a,True
1092,nan,6,True
1093,nan,17b,True
1094,nan,08g,True
1095,22,22,True
1096,09a,09a,True
1097,09a,09a,True
1098,09a,09a,True
1099,09a,09a,True
1100,nan,09a,True
1101,09a,09a,True
1102,nan,09a,True
1103,nan,09a,True
1104,09a,09a,True
1105,09a,09a,True
1106,17a,17a,True
1107,12f,12f,True
1108,11gDA,11gDA,True
1109,11gDA,11gDA,True
1110,12c,12c,True
1111,11d,11d,True
1112,nan,09a,True
1113,nan,11eDA,True
1114,nan,12*,True
1115,nan,12*,True
1116,nan,31,True
1117,22,22,True
1118,12e,12e,True
1119,nan,22,True
1120,nan,11d,True
1121,31,31,True
1122,nan,09a,True
1123,09a,09a,True
1124,nan,09a,True
1125,nan,08m,True
1126,nan,08g,True
1127,nan,11DA,True
1128,nan,,False
1129,nan,11f,False
1130,09a,09a,True
1131,09a,09a,True
1132,nan,09a,True
1133,nan,09a,True
1134,nan,11j,True
1135,nan,09a,True
1136,09a,09a,True
1137,09a,09a,True
1138,09a,09a,True
1139,nan,09a,True
1140,09a,09a,True
1141,nan,09a,True
1142,6,6,True
1143,nan,17b,True
1144,nan,09a,True
1145,nan,09a,True
1146,nan,9,True
1147,09a,09a,True
1148,17a,17a,True
1149,nan,17,True
1150,nan,11t,True
1151,nan,11gDA,True
1152,11p,11p,True
1153,nan,11p,True
1154,nan,11p,True
1155,09a,09a,True
1156,11t,11t,True
1157,nan,12c,True
1158,nan,08h,True
1159,09a,09a,True
1160,09a,09a,True
1161,nan,21a,True
1162,11k,11k,True
1163,nan,31,True
1164,31,31,True
1165,12e,12e,True
1166,21a,21a,True
1167,12e,12e,True
1168,nan,7,True
1169,nan,22,True
1170,nan,7,True
1171,nan,09a,True
1172,nan,12e,True
1173,09a,09a,True
1174,nan,09a,True
1175,nan,09a,True
1176,nan,09a,True
1177,06b,06b,True
1178,17b,17b,True
1179,08g,08g,True
1180,11b*,11b*,True
1181,17a,17a,True
1182,7,7,True
1183,nan,7,True
1184,7,7,True
1185,nan,12,True
1186,7,7,True
1187,nan,12,True
1188,17,17,True
1189,nan,11hDA,False
1190,17a,17a,True
1191,08h,08h,True
1192,17b,17b,True
1193,nan,12e,True
1194,12e,12e,True
1195,nan,17k,True
1196,08h,08h,True
1197,nan,17a,True
1198,nan,9,True
1199,09a,09a,True
1200,9,9,True
1201,9,9,True
1202,nan,9,True
1203,nan,09a,True
1204,nan,9,True
1205,9,9,True
1206,09a,09a,True
1207,09a,09a,True
1208,09a,09a,True
1209,09a,09a,True
1210,nan,9,True
1211,nan,09a,True
1212,09a,09a,True
1213,nan,09a,True
1214,09a,09a,True
1215,nan,9,True
1216,nan,9,True
1217,nan,09a,True
1218,11bFP,11bFP,True
1219,nan,09a,True
1220,09a,09a,True
1221,nan,09a,True
1222,nan,09a,True
1223,09a,09a,True
1224,09a,09a,True
1225,09a,09a,True
1226,09a,09a,True
1227,09a,09a,True
1228,09a,09a,True
1229,nan,09a,True
1230,09a,09a,True
1231,nan,09a,True
1232,09a,09a,True
1233,nan,9,True
1234,9,9,True
1235,09a,09a,True
1236,09a,09a,True
1237,09a,09a,True
1238,nan,09a,True
1239,nan,09a,True
1240,09a,09a,True
1241,nan,09a,True
1242,nan,09a,True
1243,nan,31,True
1244,nan,31,True
1245,31,31,True
1246,11DA,11DA,True
1247,nan,11m,True
1248,11u*FP,11u*FP,True
1249,11eDA,11eDA,True
1250,11dDA,11dDA,True
1251,11d,11d,True
1252,11DA,11DA,True
1253,nan,11u*FP,True
1254,11eDA,11eDA,True
1255,11dDA,11dDA,True
1256,11dDA,11dDA,True
1257,09a,09a,True
1258,nan,09a,True
1259,nan,09a,True
1260,09a,09a,True
1261,nan,08l,True
1262,17a,17a,True
1263,21a,21a,True
1264,nan,11d,True
1265,nan,17a,True
1266,nan,12,True
1267,11dFP,11dFP,True
1268,nan,08f,True
1269,nan,08f,True
1270,nan,17a,True
1271,08f,08f,True
1272,09a,09a,True
1273,nan,08l,True
1274,09a,09a,True
1275,nan,09a,True
1276,09a,09a,True
1277,08l,08l,True
1278,09a,09a,True
1279,09a,09a,True
1280,nan,08l,True
1281,09a,09a,True
1282,09a,09a,True
1283,08l,08l,True
1284,09a,09a,True
1285,08l,08l,True
1286,nan,08l,True
1287,08l,08l,True
1288,08l,08l,True
1289,08l,08l,True
1290,nan,17a,True
1291,nan,17a,True
1292,nan,17a,True
1293,17a,17a,True
1294,11DA,11DA,True
1295,nan,11DA,True
1296,11DA,11DA,True
1297,nan,11DA,True
1298,nan,11DA,True
1299,nan,09a,True
1300,17a,17a,True
1301,09a,09a,True
1302,09a,09a,True
1303,09a,09a,True
1304,09a,09a,True
1305,nan,09a,True
1306,nan,08l,True
1307,08l,08l,True
1308,nan,08l,True
1309,08l,08l,True
1310,08l,08l,True
1311,nan,09a,True
1312,nan,09a,True
1313,09a,09a,True
1314,nan,09a,True
1315,09a,09a,True
1316,nan,09a,True
1317,09a,09a,True
1318,09a,09a,True
1319,nan,09a,True
1320,nan,17a,True
1321,nan,17a,True
1322,nan,17a,True
1323,17a,17a,True
1324,09a,09a,True
1325,11k,11k,True
1326,6,6,True
1327,11,11,True
1328,nan,6,True
1329,6,6,True
1330,03DA,03DA,True
1331,06b,06b,True
1332,33a,33a,True
1333,nan,33a,True
1334,nan,08l,True
1335,nan,09a,True
1336,03dDA,03dDA,True
1337,09a,09a,True
1338,nan,09a,True
1339,17b,17b,True
1340,nan,,False
1341,nan,12e,True
1342,12e,12e,True
1343,08l,08l,True
1344,nan,05a,True
1345,nan,05a,True
1346,nan,09a,True
1347,nan,11,True
1348,nan,09a,True
1349,09a,09a,True
1350,nan,08l,True
1351,09a,09a,True
1352,nan,09a,True
1353,nan,09a,True
1354,09a,09a,True
1355,09a,09a,True
1356,nan,08l,True
1357,nan,09a,True
1358,08fDA,08fDA,True
1359,09a,09a,True
1360,nan,08l,True
1361,nan,09a,True
1362,09a,09a,True
1363,22FP,22FP,True
1364,17,17,True
1365,nan,09a,True
1366,nan,5,True
1367,nan,5,True
1368,nan,07b,True
1369,07b,07b,True
1370,07b,7,True
1371,nan,07b,True
